Entry,ID,Na,Al,Si,H2O,Si source,Si precursor sizs (nm),Pre-dissolution of Si,Al source,Pre-dissolution of Al,Clear solution after mixing,Si/OH,Si/Al,Time (h),Temperature (°C),Morphology,Product Si/Al,SBET (m2/g),Sexternal (m2/g),Vmicro (cm3/g),pH,Product ,Unnamed: 23
16,EP16,36.9,0.5,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,10.3,72.0,40,,,,,,13.32,solution,
17,EP17,36.9,0.8,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,6.4375,72.0,40,nanocrystal,1.1,737.17,223.12,0.21,13.53,EMT,
18,EP18,36.9,1.5,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,3.4333333333333336,72.0,40,nanocrystal,1.1,617.74,204.84,0.17,13.45,EMT,
19,EP19,36.9,3.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.13956639566395665,1.7166666666666668,72.0,40,,,,,,13.55,86% EMT+ 14%LTA,
20,EP20,36.9,4.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.13956639566395665,1.2875,72.0,40,,,,,,13.58,62% EMT+ 38% LTA,
21,EP21,51.5,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1,2.575,72.0,40,,,,,,13.51,98% EMT+ 2% LTA,
22,EP22,48.0,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10729166666666667,2.575,72.0,40,nanocrystal,,,,,13.63,EMT,
23,EP23,40.0,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.12875,2.575,72.0,40,nanocrystal,1.1,450.55,171.96,0.12,13.65,EMT,
24,EP24,34.0,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.15147058823529413,2.575,72.0,40,nanocrystal,1.1,342.3,161.03,0.08,13.66,EMT,
25,EP25,32.0,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1609375,2.575,72.0,40,nanocrystal,1.12,509.04,160.02,0.14,13.7,EMT,
26,EP26,34.0,1.6,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.15147058823529413,3.21875,72.0,40,nanocrystal,1.1,650.37,226.29,0.18,13.69,EMT,
27,EP27,34.0,1.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.15147058823529413,5.15,72.0,40,nanocrystal,1.12,573.43,251.2,0.13,13.73,EMT,
28,EP28,36.9,2.4,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.10840108401084012,1.6666666666666667,72.0,40,,,,,,13.74,56%LTA + 44% EMT,
29,EP29,36.9,2.7,5.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.13550135501355015,1.8518518518518516,72.0,40,,,,,,13.74,64% EMT + 36% LTA,
30,EP30,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,72.0,40,nanocrystal,1.12,579.7,131.4,0.19,13.76,EMT,
31,EP31,36.9,0.5,7.2,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1951219512195122,14.4,72.0,40,,,,,,13.77,Solution,
32,EP32,36.9,1.8,6.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1761517615176152,3.611111111111111,72.0,40,nanocrystal,1.1,575.65,199.49,0.16,13.78,EMT,
33,EP33,36.9,1.0,6.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1761517615176152,6.5,72.0,40,nanocrystal,1.1,670.48,252.1,0.17,13.78,EMT,
34,EP34,36.9,0.5,6.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.16260162601626016,12.0,72.0,40,,,,,,13.73,solution,
35,EP35,36.9,0.5,4.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.12195121951219513,9.0,72.0,40,,,,,,13.74,Solution,
36,EP36,36.9,1.5,7.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.2032520325203252,5.0,72.0,40,nanocrystal,1.1,487.42,171.67,0.13,13.74,EMT,
